"TSTEP","MONTH","YEAR","EUP_ces85","COP_ces85","MZP_ces85","PhL_ces85","PhS_ces85"
636,12,2058,-0.303024277366788,-0.670851982171838,-0.390447440383403,-0.0416661710309951,-0.505472364088443
637,1,2059,0.123429555728585,-0.407041995145195,0.300886106882686,0.289217572419543,0.88774267556586
638,2,2059,-0.00192982532167552,-0.635457665142486,0.00494112357858723,0.355076565865496,-0.164476226729835
639,3,2059,-0.139834209070929,-0.0550632175046055,0.611013933729336,-0.0267852739578017,-0.166818525074992
640,4,2059,-0.019120062654946,-0.0235445896823827,0.741837147018385,0.235402675823154,-0.166062549542056
641,5,2059,-0.295258524392864,-0.14173792974132,0.402813178999402,0.316504534626981,-0.198744033915828
642,6,2059,-0.139120666963134,-0.0709381907301974,0.307349268735714,-0.183847496920638,-0.266710939590091
643,7,2059,-0.454947171926126,-0.604104904258747,-0.0979478071879024,-0.0604067170480898,-0.408984777455621
644,8,2059,-0.565222112445598,-0.745422462029496,0.106941482320302,0.33713477291795,-0.511591940508686
645,9,2059,-0.684633608632204,-0.79844888541652,0.143571903582789,0.26401963590365,-0.706610440074312
646,10,2059,-0.501330145804173,-0.712962321253327,0.180606074009983,0.219630507041855,-0.614817642638618
647,11,2059,-0.340795602847582,-0.652473534822253,-0.323024540138643,-0.761676492119336,-0.605123306019326
648,12,2059,-0.52583928972611,-0.776670694984803,-0.505192987173775,0.19493993050371,-0.624392552193685
649,1,2060,-0.642994697115818,-0.873796417998641,-0.668314408357753,0.355147494161587,-0.915787316233136
650,2,2060,-2.00688300075092,-1.55697811291607,0.148824806151191,0.839563926167296,-0.195979045340898
651,3,2060,-0.346305262184669,-0.322835582423228,0.427486548558833,0.0844506232233437,-0.164068683962201
652,4,2060,0.0571410802321652,0.163684141493258,0.349698125503423,0.300926455183399,-0.152138173909415
653,5,2060,0.464395423212882,0.663215056226422,0.440963189099805,0.0493926922750798,-0.148541805110074
654,6,2060,-0.454054827379943,-0.479842724022286,0.171532386924041,-0.124084251511273,-0.248109077089331
655,7,2060,-0.292381920581684,-0.487756944261644,-0.100163723706982,-0.0343845296587838,-0.362948304721941
656,8,2060,-0.382133608110676,-0.644370160629033,0.069680235728208,0.207108929501951,-0.488927580903975
657,9,2060,-0.568609219801157,-0.741228268894663,0.176458958322689,0.8038535960192,-0.635377634361897
658,10,2060,-0.237330723980953,-0.555642967829441,0.228071008719597,0.5206635586498,-0.574447934309867
659,11,2060,-0.290308021769929,-0.625024013531714,-0.331306154015356,-0.558944852949191,-0.596196588331435
660,12,2060,-0.564859614611217,-0.79034225239743,-0.512735287145637,0.24412969472918,-0.60634946987399
661,1,2061,-0.118418811650388,-0.573230741427722,-0.215356996026145,0.726055861214269,-0.595900194814035
662,2,2061,-1.71787547635663,-1.42807213185288,-0.263225015717866,0.758832977841067,-0.182504057477793
663,3,2061,-0.446047441958264,-0.525982794749904,-0.301078937542767,-0.0382397256800244,-0.163174656517256
664,4,2061,-0.010855520797964,0.0516425341182365,0.481640683074356,0.1785854821143,-0.203338420119881
665,5,2061,0.437694710536607,0.530901417957811,0.224429724626756,0.0798850736319803,-0.33624368603284
666,6,2061,-0.280245407189629,-0.30327744830442,-0.00717051275209346,-0.255519379217214,-0.245685067606107
667,7,2061,-0.0686460943724965,-0.338878573674744,0.132148315357951,0.119193567688087,-0.278865188063018
668,8,2061,-0.385970705906657,-0.659866661749075,0.00340464887148895,-0.252548379893636,-0.422673617164787
669,9,2061,-0.630839314206273,-0.785734301449136,0.0564617359928938,0.277933434416699,-0.436904900201014
670,10,2061,-0.349328140959423,-0.622416022861566,0.174130645233626,0.305138485668842,-0.442384398533757
671,11,2061,-0.23202270952897,-0.588841121211409,-0.293673722095319,-0.710707638134212,-0.593771752147943
672,12,2061,-0.620650051384616,-0.823722099202814,-0.589753727431041,0.0164286827557278,-0.649111467166455
673,1,2062,-0.735766779459356,-0.913007304135174,-0.714038850178821,0.396034283892897,-0.922886991313081
674,2,2062,-2.17028804948656,-1.67170167090845,-0.263101826866514,0.590172995657638,-0.211454596597395
